"ResourceType","DotNotation"
"Microsoft.Compute/virtualMachines","name"
"Microsoft.Compute/virtualMachines","id"
"Microsoft.Compute/virtualMachines","type"
"Microsoft.Compute/virtualMachines","location"
"Microsoft.Compute/virtualMachines","identity.type"
"Microsoft.Compute/virtualMachines","identity.principalId"
"Microsoft.Compute/virtualMachines","identity.tenantId"
"Microsoft.Compute/virtualMachines","properties.hardwareProfile.vmSize"
"Microsoft.Compute/virtualMachines","properties.provisioningState"
"Microsoft.Compute/virtualMachines","properties.vmId"
"Microsoft.Compute/virtualMachines","properties.availabilitySet.id"
"Microsoft.Compute/virtualMachines","properties.storageProfile.imageReference.publisher"
"Microsoft.Compute/virtualMachines","properties.storageProfile.imageReference.offer"
"Microsoft.Compute/virtualMachines","properties.storageProfile.imageReference.sku"
"Microsoft.Compute/virtualMachines","properties.storageProfile.imageReference.version"
"Microsoft.Compute/virtualMachines","properties.storageProfile.imageReference.exactVersion"
"Microsoft.Compute/virtualMachines","properties.storageProfile.osDisk.osType"
"Microsoft.Compute/virtualMachines","properties.storageProfile.osDisk.name"
"Microsoft.Compute/virtualMachines","properties.storageProfile.osDisk.createOption"
"Microsoft.Compute/virtualMachines","properties.storageProfile.osDisk.caching"
"Microsoft.Compute/virtualMachines","properties.storageProfile.osDisk.managedDisk.id"
"Microsoft.Compute/virtualMachines","properties.storageProfile.osDisk.deleteOption"
"Microsoft.Compute/virtualMachines","properties.osProfile.computerName"
"Microsoft.Compute/virtualMachines","properties.osProfile.adminUsername"
"Microsoft.Compute/virtualMachines","properties.osProfile.windowsConfiguration.provisionVMAgent"
"Microsoft.Compute/virtualMachines","properties.osProfile.windowsConfiguration.enableAutomaticUpdates"
"Microsoft.Compute/virtualMachines","properties.osProfile.windowsConfiguration.patchSettings.patchMode"
"Microsoft.Compute/virtualMachines","properties.osProfile.windowsConfiguration.patchSettings.assessmentMode"
"Microsoft.Compute/virtualMachines","properties.osProfile.windowsConfiguration.patchSettings.enableHotpatching"
"Microsoft.Compute/virtualMachines","properties.osProfile.allowExtensionOperations"
"Microsoft.Compute/virtualMachines","properties.osProfile.requireGuestProvisionSignal"
"Microsoft.Compute/virtualMachines","properties.diagnosticsProfile.bootDiagnostics.enabled"
"Microsoft.Compute/virtualMachines","properties.timeCreated"
